"","Park","Site","land_use","area_m2","LU_prop","sum_area_m2","Scale","Period"
"1","ARTI","ARTI_10","Water",114078.552203732,0.00242281218432278,47085181.815535,"catchment","1984_1990"
"2","ARTI","ARTI_10","Urban",2191.23083670808,4.65375889444929e-05,47085181.815535,"catchment","1984_1990"
"3","ARTI","ARTI_10","Bare_soil",3931.9855043292,8.35079180480494e-05,47085181.815535,"catchment","1984_1990"
"4","ARTI","ARTI_10","Grassland",949190.977264523,0.020159016927728,47085181.815535,"catchment","1984_1990"
"5","ARTI","ARTI_10","Shrubland",3347171.63076502,0.0710875800348015,47085181.815535,"catchment","1984_1990"
"6","ARTI","ARTI_10","Nat_forest",33529637.498069,0.712105936628377,47085181.815535,"catchment","1984_1990"
"7","ARTI","ARTI_10","Plant_forest",9138979.94089173,0.194094608717778,47085181.815535,"catchment","1984_1990"
"8","AIZK","AIZK_10","Water",28294.0784510463,0.00052815231742397,53571815.3979685,"catchment","1984_1990"
"9","AIZK","AIZK_10","Urban",70699.2180274526,0.00131970920720625,53571815.3979685,"catchment","1984_1990"
"10","AIZK","AIZK_10","Bare_soil",1041355.92077461,0.0194385034936506,53571815.3979685,"catchment","1984_1990"
"11","AIZK","AIZK_10","Grassland",12058855.8489907,0.225097017142488,53571815.3979685,"catchment","1984_1990"
"12","AIZK","AIZK_10","Agriculture",332949.409984924,0.00621501077593779,53571815.3979685,"catchment","1984_1990"
"13","AIZK","AIZK_10","Shrubland",4775484.10531252,0.089141726294637,53571815.3979685,"catchment","1984_1990"
"14","AIZK","AIZK_10","Nat_forest",20270807.9455249,0.378385682750143,53571815.3979685,"catchment","1984_1990"
"15","AIZK","AIZK_10","Plant_forest",14993368.8709023,0.279874198018513,53571815.3979685,"catchment","1984_1990"
"16","ARAL","ARAL_01","Water",13157.9072579838,0.00018939821864897,69472180.6352888,"catchment","1984_1990"
"17","ARAL","ARAL_01","Urban",171074.812588881,0.00246249377843744,69472180.6352888,"catchment","1984_1990"
"18","ARAL","ARAL_01","Bare_soil",1251036.85342239,0.0180077383778985,69472180.6352888,"catchment","1984_1990"
"19","ARAL","ARAL_01","Grassland",15138634.1545891,0.217909298602026,69472180.6352888,"catchment","1984_1990"
"20","ARAL","ARAL_01","Agriculture",320634.916777452,0.0046152994456976,69472180.6352888,"catchment","1984_1990"
"21","ARAL","ARAL_01","Shrubland",4578584.41252887,0.0659052928907654,69472180.6352888,"catchment","1984_1990"
"22","ARAL","ARAL_01","Nat_forest",32234180.4322395,0.463986881331115,69472180.6352888,"catchment","1984_1990"
"23","ARAL","ARAL_01","Plant_forest",15764877.1458846,0.226923597355411,69472180.6352888,"catchment","1984_1990"
"24","IZKI","IZKI_10","Urban",79362.7388721456,0.00182027713642027,43599261.4993886,"catchment","1984_1990"
"25","IZKI","IZKI_10","Bare_soil",117603.625605644,0.00269737655091459,43599261.4993886,"catchment","1984_1990"
"26","IZKI","IZKI_10","Grassland",3603333.6982753,0.082646668185557,43599261.4993886,"catchment","1984_1990"
"27","IZKI","IZKI_10","Agriculture",1496500.40471343,0.0343239851604922,43599261.4993886,"catchment","1984_1990"
"28","IZKI","IZKI_10","Shrubland",4547411.04755222,0.104300185167494,43599261.4993886,"catchment","1984_1990"
"29","IZKI","IZKI_10","Nat_forest",30046714.8697621,0.689156509455636,43599261.4993886,"catchment","1984_1990"
"30","IZKI","IZKI_10","Plant_forest",3708335.11460769,0.0850549983434857,43599261.4993886,"catchment","1984_1990"
"31","GORB","GORB_10","Urban",7848.15267140344,0.00020220097526566,38813624.222594,"catchment","1984_1990"
"32","GORB","GORB_10","Bare_soil",506302.33273957,0.0130444487697401,38813624.222594,"catchment","1984_1990"
"33","GORB","GORB_10","Grassland",5507082.70021657,0.141885299569908,38813624.222594,"catchment","1984_1990"
"34","GORB","GORB_10","Agriculture",277191.686716279,0.00714160793453867,38813624.222594,"catchment","1984_1990"
"35","GORB","GORB_10","Shrubland",7644580.1937318,0.196956103606573,38813624.222594,"catchment","1984_1990"
"36","GORB","GORB_10","Nat_forest",14816202.8312798,0.381726858236935,38813624.222594,"catchment","1984_1990"
"37","GORB","GORB_10","Plant_forest",10054416.3252386,0.25904348090704,38813624.222594,"catchment","1984_1990"
"38","ARTI","ARTI_10","Water",106866.571214782,0.00226964323844876,47085184.7569763,"catchment","1990_1995"
"39","ARTI","ARTI_10","Urban",1966.94834452868,4.17742513846087e-05,47085184.7569763,"catchment","1990_1995"
"40","ARTI","ARTI_10","Bare_soil",3935.58141068791,8.35842830606032e-05,47085184.7569763,"catchment","1990_1995"
"41","ARTI","ARTI_10","Grassland",1311263.65640254,0.0278487524933893,47085184.7569763,"catchment","1990_1995"
"42","ARTI","ARTI_10","Agriculture",5243.55349232256,0.00011136312875029,47085184.7569763,"catchment","1990_1995"
"43","ARTI","ARTI_10","Shrubland",3220645.57546809,0.0684004022091239,47085184.7569763,"catchment","1990_1995"
"44","ARTI","ARTI_10","Nat_forest",33758899.0827752,0.716974973274866,47085184.7569763,"catchment","1990_1995"
"45","ARTI","ARTI_10","Plant_forest",8676363.78786816,0.184269507120977,47085184.7569763,"catchment","1990_1995"
